epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14476.8,0.51676,0.98288,0.40944,0.94501,0.9509,0.92811,0.95637,0.86822,0.95541,0.91244,0.94575,0.82631,0.46016,1.01005,0.32133,0.95807,0.005941,0.005941,0.005941
43,14818.2,0.51962,1.00057,0.4132,0.9488,0.95973,0.92319,0.95628,0.87083,0.94942,0.92298,0.94594,0.82902,0.45599,1.00686,0.31533,0.95787,0.005842,0.005842,0.005842
44,15163.7,0.51699,0.98208,0.40727,0.94408,0.95615,0.93171,0.95783,0.87403,0.94921,0.9235,0.94648,0.83361,0.45671,1.01102,0.31245,0.94784,0.005743,0.005743,0.005743
45,15512.2,0.5082,0.97777,0.40336,0.94465,0.95193,0.9329,0.95751,0.876,0.94591,0.92497,0.94586,0.83372,0.45424,1.0056,0.31159,0.95529,0.005644,0.005644,0.005644
46,15848.6,0.51162,0.97157,0.40013,0.94388,0.95826,0.92863,0.9569,0.87375,0.9541,0.92532,0.94865,0.83521,0.45209,1.00573,0.30501,0.95304,0.005545,0.005545,0.005545
47,16182.7,0.50315,0.96494,0.38772,0.93812,0.96036,0.9258,0.95628,0.87551,0.9591,0.92459,0.94851,0.83323,0.44936,1.02587,0.30152,0.95125,0.005446,0.005446,0.005446
48,16522.3,0.50188,0.95119,0.38731,0.9379,0.96082,0.91935,0.95607,0.87376,0.94319,0.92946,0.94677,0.83297,0.44596,0.99931,0.30684,0.95261,0.005347,0.005347,0.005347
49,16858.8,0.4966,0.94103,0.3887,0.93349,0.95152,0.93426,0.95873,0.87594,0.94619,0.93039,0.94837,0.83336,0.45014,1.02023,0.30438,0.95554,0.005248,0.005248,0.005248
50,17193.1,0.49285,0.92934,0.37552,0.9307,0.94791,0.9372,0.95821,0.87537,0.94519,0.93474,0.94972,0.83732,0.45138,1.01824,0.30023,0.95972,0.005149,0.005149,0.005149
51,17538.9,0.48898,0.92968,0.37895,0.93021,0.94845,0.94097,0.95757,0.87811,0.94805,0.9356,0.94953,0.83584,0.44578,1.01375,0.3055,0.95377,0.00505,0.00505,0.00505
52,17876.2,0.49529,0.93106,0.37152,0.9332,0.95581,0.93385,0.95844,0.87754,0.95374,0.92848,0.94937,0.83513,0.44423,1.02283,0.30423,0.94792,0.004951,0.004951,0.004951
53,18214.1,0.49129,0.9228,0.37436,0.93177,0.95987,0.9276,0.95699,0.87531,0.95698,0.92297,0.94614,0.83302,0.44437,1.02041,0.3113,0.9461,0.004852,0.004852,0.004852
54,18559.2,0.48672,0.91676,0.36859,0.92945,0.95954,0.9317,0.95877,0.87744,0.95856,0.92755,0.95009,0.83691,0.44673,1.01075,0.30327,0.95335,0.004753,0.004753,0.004753
55,18917,0.4806,0.89166,0.35917,0.92335,0.95882,0.93052,0.95805,0.87894,0.95552,0.92651,0.94827,0.83767,0.44677,1.02324,0.30546,0.95073,0.004654,0.004654,0.004654
56,19263.3,0.47884,0.8906,0.35892,0.92594,0.95542,0.93441,0.95634,0.87807,0.95196,0.93069,0.94783,0.83646,0.44179,1.02443,0.30679,0.94962,0.004555,0.004555,0.004555
57,19608.2,0.47156,0.88911,0.35728,0.92141,0.9566,0.93821,0.95664,0.87986,0.95277,0.93252,0.948,0.83844,0.44086,1.01676,0.29538,0.94973,0.004456,0.004456,0.004456
58,19960.2,0.47501,0.89227,0.35236,0.92329,0.95905,0.94026,0.95805,0.88067,0.95685,0.93479,0.95084,0.84048,0.43772,1.01761,0.29429,0.94524,0.004357,0.004357,0.004357
59,20303.2,0.47363,0.88994,0.35198,0.92193,0.95813,0.93987,0.95959,0.88245,0.95287,0.93453,0.95102,0.84195,0.43346,1.01113,0.28968,0.93977,0.004258,0.004258,0.004258
60,20650.9,0.47258,0.88459,0.34585,0.91775,0.95405,0.94354,0.96005,0.8836,0.94781,0.9382,0.95117,0.84332,0.43193,1.02201,0.29812,0.94294,0.004159,0.004159,0.004159
61,20991.4,0.46793,0.8736,0.34475,0.91643,0.95919,0.93903,0.96143,0.88417,0.95551,0.93353,0.9514,0.84539,0.42885,1.02065,0.29248,0.94373,0.00406,0.00406,0.00406
62,21329.2,0.46475,0.85464,0.3384,0.91387,0.95979,0.93798,0.96141,0.88415,0.96058,0.93052,0.95109,0.84402,0.43074,1.00555,0.28314,0.94339,0.003961,0.003961,0.003961
63,21680.1,0.46534,0.85417,0.33503,0.91281,0.96421,0.93753,0.96292,0.88532,0.96112,0.9315,0.95333,0.84572,0.42817,1.00301,0.28304,0.94024,0.003862,0.003862,0.003862
64,22033.9,0.45683,0.84292,0.33602,0.91228,0.96389,0.93722,0.96265,0.88606,0.96381,0.93015,0.95204,0.84637,0.43092,1.01728,0.28132,0.94253,0.003763,0.003763,0.003763
65,22379.9,0.45449,0.84096,0.32485,0.90957,0.96482,0.93714,0.96276,0.8851,0.96164,0.931,0.95089,0.84576,0.43042,1.01231,0.28316,0.94069,0.003664,0.003664,0.003664
66,22740.4,0.45431,0.83892,0.32795,0.91009,0.96252,0.93936,0.96328,0.88793,0.9583,0.93278,0.95158,0.84722,0.42643,1.00799,0.28072,0.93633,0.003565,0.003565,0.003565
67,23094.1,0.45332,0.83363,0.32389,0.9083,0.95839,0.93765,0.96291,0.88702,0.96074,0.92807,0.95262,0.84772,0.42818,1.0054,0.28054,0.9402,0.003466,0.003466,0.003466
68,23444.9,0.45346,0.8388,0.31813,0.90893,0.95887,0.94225,0.96263,0.88704,0.9581,0.93364,0.95149,0.84623,0.42679,1.01007,0.2794,0.93962,0.003367,0.003367,0.003367
69,23809.4,0.44782,0.83594,0.31712,0.90612,0.95967,0.94446,0.96316,0.88681,0.9574,0.93595,0.9517,0.84615,0.42604,1.01111,0.27718,0.94089,0.003268,0.003268,0.003268
70,24153.4,0.44454,0.81076,0.31316,0.90846,0.96031,0.94306,0.96379,0.888,0.95928,0.93108,0.95097,0.84634,0.42815,1.02665,0.27891,0.94225,0.003169,0.003169,0.003169
71,24503.1,0.44259,0.81354,0.31227,0.9036,0.96024,0.94174,0.96413,0.88735,0.96173,0.92985,0.95234,0.84726,0.42948,1.02563,0.27726,0.94213,0.00307,0.00307,0.00307
