epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,13082.9,0.40962,0.26696,0.88846,0.96191,0.9396,0.96276,0.89014,0.42152,0.259,0.9371,0.001684,0.001684,0.001684
86,13236.5,0.40508,0.26049,0.88975,0.96133,0.94127,0.96203,0.89069,0.42279,0.2571,0.93896,0.001585,0.001585,0.001585
87,13390,0.4064,0.26164,0.88834,0.96394,0.93823,0.96287,0.89207,0.42313,0.25709,0.94012,0.001486,0.001486,0.001486
88,13543.6,0.40707,0.26045,0.88449,0.96329,0.93775,0.9641,0.8936,0.42207,0.2574,0.93907,0.001387,0.001387,0.001387
89,13698.1,0.40581,0.25878,0.88777,0.96424,0.93666,0.96415,0.89327,0.42172,0.25875,0.93877,0.001288,0.001288,0.001288
90,13851.5,0.40337,0.25936,0.88559,0.96189,0.93717,0.96361,0.89248,0.42129,0.25992,0.93777,0.001189,0.001189,0.001189
91,14005.3,0.34045,0.20667,0.8466,0.95865,0.94013,0.96342,0.89229,0.42003,0.25865,0.93648,0.00109,0.00109,0.00109
92,14158.5,0.33429,0.20235,0.84344,0.96448,0.93505,0.9635,0.89208,0.42045,0.25778,0.93734,0.000991,0.000991,0.000991
93,14312,0.32948,0.19949,0.84433,0.96361,0.9355,0.96399,0.89167,0.4211,0.2568,0.93827,0.000892,0.000892,0.000892
94,14465.5,0.3279,0.19746,0.83832,0.96391,0.93639,0.96346,0.89119,0.42216,0.25657,0.94012,0.000793,0.000793,0.000793
95,14618.8,0.3209,0.19398,0.83848,0.96576,0.93583,0.96364,0.89065,0.42231,0.2567,0.9406,0.000694,0.000694,0.000694
96,14771.7,0.31695,0.19013,0.83653,0.9659,0.9371,0.96367,0.89083,0.42237,0.25483,0.94113,0.000595,0.000595,0.000595
97,14924.8,0.31479,0.18626,0.83487,0.96511,0.93783,0.9637,0.89118,0.42195,0.25523,0.9416,0.000496,0.000496,0.000496
98,15077.9,0.30966,0.18226,0.83486,0.96655,0.9379,0.96398,0.89138,0.42329,0.25545,0.94388,0.000397,0.000397,0.000397
