epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,16876.6,0.42803,0.78936,0.30864,0.89985,0.95491,0.93444,0.95861,0.88023,0.95056,0.93019,0.95027,0.84138,0.43396,1.06502,0.29964,0.95595,0.003763,0.003763,0.003763
65,17140.6,0.42968,0.78415,0.30389,0.89833,0.95158,0.93651,0.95665,0.87939,0.9472,0.93056,0.94762,0.83918,0.43309,1.07702,0.29823,0.95542,0.003664,0.003664,0.003664
66,17404.6,0.43054,0.78369,0.30527,0.90094,0.9525,0.93459,0.9569,0.88018,0.94524,0.93119,0.94873,0.84018,0.43387,1.07795,0.30081,0.95627,0.003565,0.003565,0.003565
67,17666.7,0.43003,0.78858,0.30054,0.89879,0.95209,0.9352,0.95793,0.88049,0.94998,0.92687,0.94953,0.84171,0.43291,1.06544,0.30059,0.9564,0.003466,0.003466,0.003466
68,17929.4,0.42833,0.78768,0.30122,0.89867,0.96019,0.92465,0.9556,0.87988,0.95644,0.91992,0.94788,0.84117,0.43383,1.07144,0.29659,0.95805,0.003367,0.003367,0.003367
69,18190.5,0.42603,0.78468,0.29668,0.89592,0.95767,0.92942,0.95591,0.88103,0.95621,0.92231,0.94895,0.84125,0.43658,1.07308,0.29942,0.95978,0.003268,0.003268,0.003268
70,18452.4,0.42078,0.76449,0.29045,0.89823,0.95466,0.93311,0.95571,0.88061,0.95658,0.92274,0.94893,0.84213,0.43617,1.08606,0.29844,0.96015,0.003169,0.003169,0.003169
71,18713.1,0.42228,0.77134,0.29184,0.89497,0.95801,0.93291,0.95646,0.88089,0.95754,0.92433,0.94967,0.84248,0.43568,1.08517,0.29933,0.95883,0.00307,0.00307,0.00307
72,18978.6,0.41614,0.76005,0.28906,0.89064,0.96011,0.93013,0.95663,0.88116,0.95495,0.9251,0.94962,0.84298,0.43412,1.08171,0.29844,0.95836,0.002971,0.002971,0.002971
73,19242.7,0.42031,0.76378,0.28926,0.89199,0.9597,0.9287,0.9564,0.88275,0.95371,0.9238,0.94991,0.84411,0.43198,1.08595,0.29532,0.95582,0.002872,0.002872,0.002872
74,19503.6,0.41508,0.75572,0.28663,0.89086,0.95879,0.92833,0.95621,0.88384,0.95435,0.9214,0.94934,0.84445,0.4318,1.09256,0.29441,0.9551,0.002773,0.002773,0.002773
75,19765.7,0.41171,0.73833,0.28211,0.89044,0.96461,0.92447,0.95752,0.88289,0.9574,0.91842,0.94829,0.84368,0.43128,1.09744,0.29311,0.95457,0.002674,0.002674,0.002674
76,20026.7,0.41064,0.75172,0.28004,0.89048,0.96125,0.92606,0.95811,0.88181,0.95478,0.92244,0.94904,0.84349,0.4329,1.11581,0.29465,0.95588,0.002575,0.002575,0.002575
77,20288,0.41215,0.7512,0.27911,0.89146,0.96092,0.92562,0.95724,0.88079,0.95941,0.9194,0.94941,0.84388,0.43429,1.11522,0.29608,0.95775,0.002476,0.002476,0.002476
78,20550.5,0.40367,0.72823,0.27145,0.88692,0.96209,0.92643,0.95729,0.88172,0.95935,0.91966,0.94924,0.84299,0.43424,1.11599,0.29608,0.95813,0.002377,0.002377,0.002377
79,20813.8,0.40802,0.74261,0.27806,0.88825,0.95749,0.93013,0.95708,0.88281,0.9594,0.92031,0.94914,0.84432,0.4337,1.11707,0.29498,0.95637,0.002278,0.002278,0.002278
