epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,12261.5,0.42768,0.29154,0.89953,0.96186,0.92714,0.95536,0.88031,0.4478,0.29594,0.96047,0.003466,0.003466,0.003466
68,12374.3,0.43004,0.29333,0.89983,0.96172,0.93194,0.95671,0.88045,0.44614,0.29302,0.96015,0.003367,0.003367,0.003367
69,12489.7,0.42411,0.29085,0.89697,0.95887,0.93117,0.95753,0.88297,0.44137,0.29298,0.95649,0.003268,0.003268,0.003268
70,12605.7,0.42119,0.28673,0.8963,0.96045,0.93114,0.95594,0.88182,0.44137,0.29249,0.95602,0.003169,0.003169,0.003169
71,12720.5,0.42186,0.28101,0.89538,0.96088,0.92766,0.95685,0.88138,0.44692,0.29629,0.95968,0.00307,0.00307,0.00307
72,12834,0.42192,0.28512,0.8975,0.9621,0.9275,0.957,0.88166,0.44426,0.2942,0.95727,0.002971,0.002971,0.002971
73,12949.1,0.41698,0.27901,0.89393,0.96427,0.9237,0.95574,0.8812,0.44393,0.29418,0.95746,0.002872,0.002872,0.002872
74,13063.5,0.41544,0.28195,0.8939,0.95296,0.93106,0.95565,0.88244,0.44179,0.29121,0.95817,0.002773,0.002773,0.002773
75,13178.1,0.41612,0.27614,0.89383,0.95768,0.92602,0.95501,0.88139,0.44056,0.28922,0.9577,0.002674,0.002674,0.002674
76,13291.3,0.41127,0.27953,0.89248,0.95788,0.92718,0.95575,0.88227,0.44247,0.2885,0.95947,0.002575,0.002575,0.002575
77,13405.9,0.41337,0.27737,0.89124,0.95957,0.92929,0.95647,0.88248,0.44369,0.2911,0.96098,0.002476,0.002476,0.002476
78,13518.4,0.40883,0.27268,0.8898,0.96183,0.92821,0.95684,0.88235,0.44502,0.29188,0.96347,0.002377,0.002377,0.002377
79,13630.7,0.40618,0.26946,0.89125,0.961,0.92963,0.95683,0.88229,0.44442,0.29309,0.96155,0.002278,0.002278,0.002278
